Ano,Mês,Grupo Mercadoria,Carga Ferroviária
2006,1,"Combustíveis, Derivados do Petróleo e Álcool",716079
2006,1,"Indústria Siderúrgica, Cimento e Construção Civil",4115401
2006,1,"Setor Agrícola, Extração Vegetal e Celulose",2151686
2006,1,Minério de Ferro,23682391
2006,1,Outras Mercadorias,475936
2006,2,"Setor Agrícola, Extração Vegetal e Celulose",2876044
2006,2,Outras Mercadorias,434929
2006,2,"Combustíveis, Derivados do Petróleo e Álcool",660929
2006,2,Minério de Ferro,19902707
2006,2,"Indústria Siderúrgica, Cimento e Construção Civil",3411238
2006,3,Outras Mercadorias,224606
2006,3,"Setor Agrícola, Extração Vegetal e Celulose",3725776
2006,3,"Combustíveis, Derivados do Petróleo e Álcool",762391
2006,3,"Indústria Siderúrgica, Cimento e Construção Civil",4051851
2006,3,Minério de Ferro,22450164
2006,4,"Combustíveis, Derivados do Petróleo e Álcool",729185
2006,4,Outras Mercadorias,403323
2006,4,"Indústria Siderúrgica, Cimento e Construção Civil",3850737
2006,4,"Setor Agrícola, Extração Vegetal e Celulose",3754956
2006,4,Minério de Ferro,22127126
2006,5,"Setor Agrícola, Extração Vegetal e Celulose",3666761
2006,5,"Indústria Siderúrgica, Cimento e Construção Civil",4058449
2006,5,"Combustíveis, Derivados do Petróleo e Álcool",707834
2006,5,Outras Mercadorias,422388
2006,5,Minério de Ferro,23607381
2006,6,"Combustíveis, Derivados do Petróleo e Álcool",832953
2006,6,"Indústria Siderúrgica, Cimento e Construção Civil",4235699
2006,6,Outras Mercadorias,392050
2006,6,"Setor Agrícola, Extração Vegetal e Celulose",4197726
2006,6,Minério de Ferro,23275705
2006,7,"Indústria Siderúrgica, Cimento e Construção Civil",4397475
2006,7,"Setor Agrícola, Extração Vegetal e Celulose",4186446
2006,7,"Combustíveis, Derivados do Petróleo e Álcool",785830
2006,7,Outras Mercadorias,422050
2006,7,Minério de Ferro,25164825
2006,8,Outras Mercadorias,468685
2006,8,"Indústria Siderúrgica, Cimento e Construção Civil",4393834
2006,8,"Combustíveis, Derivados do Petróleo e Álcool",1094942
2006,8,Minério de Ferro,25229542
2006,8,"Setor Agrícola, Extração Vegetal e Celulose",4405950
2006,9,Outras Mercadorias,429147
2006,9,Minério de Ferro,24157169
2006,9,"Combustíveis, Derivados do Petróleo e Álcool",925606
2006,9,"Setor Agrícola, Extração Vegetal e Celulose",4365005
2006,9,"Indústria Siderúrgica, Cimento e Construção Civil",4448781
2006,10,"Setor Agrícola, Extração Vegetal e Celulose",3732215
2006,10,Outras Mercadorias,320455
2006,10,Minério de Ferro,25150029
2006,10,"Combustíveis, Derivados do Petróleo e Álcool",938521
2006,10,"Indústria Siderúrgica, Cimento e Construção Civil",4756572
2006,11,"Indústria Siderúrgica, Cimento e Construção Civil",4496700
2006,11,"Combustíveis, Derivados do Petróleo e Álcool",790244
2006,11,Minério de Ferro,23469386
2006,11,"Setor Agrícola, Extração Vegetal e Celulose",2831819
2006,11,Outras Mercadorias,289404
2006,12,Minério de Ferro,23475008
2006,12,"Indústria Siderúrgica, Cimento e Construção Civil",4478895
2006,12,"Setor Agrícola, Extração Vegetal e Celulose",2436609
2006,12,"Combustíveis, Derivados do Petróleo e Álcool",925811
2006,12,Outras Mercadorias,241507
2007,1,Outras Mercadorias,212609
2007,1,Minério de Ferro,23621187
2007,1,"Indústria Siderúrgica, Cimento e Construção Civil",4142975
2007,1,"Combustíveis, Derivados do Petróleo e Álcool",821411
2007,1,"Setor Agrícola, Extração Vegetal e Celulose",2175816
2007,2,"Combustíveis, Derivados do Petróleo e Álcool",644722
2007,2,Minério de Ferro,21908730
2007,2,Outras Mercadorias,187156
2007,2,"Indústria Siderúrgica, Cimento e Construção Civil",3996948
2007,2,"Setor Agrícola, Extração Vegetal e Celulose",2593181
2007,3,"Combustíveis, Derivados do Petróleo e Álcool",725922
2007,3,Outras Mercadorias,205357
2007,3,"Indústria Siderúrgica, Cimento e Construção Civil",4563266
2007,3,Minério de Ferro,24250460
2007,3,"Setor Agrícola, Extração Vegetal e Celulose",3538775
2007,4,Outras Mercadorias,195126
2007,4,"Combustíveis, Derivados do Petróleo e Álcool",727994
2007,4,"Indústria Siderúrgica, Cimento e Construção Civil",4305547
2007,4,"Setor Agrícola, Extração Vegetal e Celulose",3710595
2007,4,Minério de Ferro,24460612
2007,5,"Indústria Siderúrgica, Cimento e Construção Civil",4617738
2007,5,Outras Mercadorias,323241
2007,5,"Setor Agrícola, Extração Vegetal e Celulose",3718780
2007,5,Minério de Ferro,25430537
2007,5,"Combustíveis, Derivados do Petróleo e Álcool",799032
2007,6,"Indústria Siderúrgica, Cimento e Construção Civil",4359573
2007,6,Outras Mercadorias,310544
2007,6,Minério de Ferro,25515805
2007,6,"Combustíveis, Derivados do Petróleo e Álcool",819975
